Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,21,9,P:Microsoft.Maui.Controls.BindableProperty.DefaultBindingMode,,,,,bindableProperty.DefaultBindingMode
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,20,16,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,20,16,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,20,16,F:Microsoft.Maui.Controls.BindingMode.Default,,,,,BindingMode.Default
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,19,15,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,19,15,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,19,15,F:Microsoft.Maui.Controls.BindingMode.TwoWay,,,,,BindingMode.TwoWay
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,18,14,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,18,14,T:Microsoft.Maui.Controls.BindingMode,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\Microsoft.Maui.Controls.BindingSourceGen\Microsoft.Maui.Controls.BindingSourceGen.BindingSourceGenerator\GeneratedBindingInterceptorsCommon.g.cs,18,14,F:Microsoft.Maui.Controls.BindingMode.OneWayToSource,,,,,BindingMode.OneWayToSource
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SuleymaniyeCalendar\SuleymaniyeCalendar.csproj,File,SuleymaniyeCalendar\obj\Debug\net9.0-windows10.0.26100.0\win10-x64\CommunityToolkit.Maui.SourceGenerators\CommunityToolkit.Maui.SourceGenerators.Generators.TextColorToGenerator\LabelTextColorTo.g.shared.cs,27,4,T:Microsoft.Maui.Easing,,,,,"public static Task<bool> TextColorTo(this global::Microsoft.Maui.Controls.Label element, global::Microsoft.Maui.Graphics.Color color, uint rate = 16u, uint length = 250u, Easing? easing = null, CancellationToken token = default)"
